0.007266054,0.001753773,0.01039588,0.002579644,0.00190762
0.011740641,0.004074838,0.027274011,0.003416409,0.003040989
0.016223193,0.015704723,0.127086649,0.010868484,0.015387097
0.029892574,0.052505213,0.450163435,0.027536239,0.031414748
0.027776348,0.053234066,0.416316508,0.023352912,0.026243632
0.029652051,0.070863349,0.425348428,0.02457294,0.031003411
0.035321082,0.192494458,1.005787359,0.043862769,0.064540335
0.039916056,0.217025766,1.360539076,0.050349615,0.076820086
0.043227328,0.311370292,1.800008843,0.07395059,0.134327089
0.054890772,0.546728315,3.69470609,0.120736549,0.223195107
0.077170946,1.12816421,5.976864758,0.216263801,0.429051039
0.094235117,1.867634726,9.439369045,0.376034495,0.923656271
0.201521008,3.884795889,18.207284727,0.753903727,1.617030078
0.416681725,8.408624752,NA,1.473476437,3.48634771
0.749306727,22.975738874,NA,2.930126302,6.635539585
1.430568053,NA,NA,6.055552917,13.305985677
2.706384702,NA,NA,11.901770087,25.862280978
